lemma	bin_tag	mim_tag	freq	rank	ind	manual_en	pre_kw	kw	post_kw	ipa_sd	full_cat	full_cat_en	bin_tag_en	tier	verb_1st_pres	verb_2nd_pres	verb_3rd_pres	verb_1st_past	verb_2nd_past	verb_3rd_past	verb_lh_þt	OBEYGJANLEGT	ÞFET	ÞGFET	EFET	NFFT	ÞFFT	ÞGFFT	EFFT	ft	et	ÞF	ÞGF	EF	lo.fst	lo.mst	lo.est	MST	EST	pronounce
lag	hk	nh	32632	114	2208	tune; layer	Heimildir séu fyrir því í	lögum	.	laːɣ	Nafnorð	Noun	n.	1K									lag	lagi	lags	lög	lög	lögum	laga											lag.mp3
þó	ao	a	32359	115	495865	though; yet	Þeir komust	þó	upp með hjálp nálægra manna.	θouː	Atviksorð	Adverb	adv.	1K								þó																		þó.mp3
barn	hk	nh	31556	116	496	child, offspring	Það sé vegna þess að hún eigi von á	barni	.	partn̥	Nafnorð	Noun	n.	1K									barn	barni	barns	börn	börn	börnum	barna											barn.mp3
munu	so	s	31363	117	469286	will	Sértækar aðgerðir	myndu	draga bæði úr sýkingar- og dánartíðni.	mʏːnʏ	Sagnorð	Verb	v.	1K	mun	munt	mun																							munu.mp3
einnig	ao	a	30688	118	495528	also	Aðrir stjórnmálamenn hafa	einnig	tjáð sig.	eitnɪɣ	Atviksorð	Adverb	adv.	1K								einnig																		einnig.mp3
tími	kk	nk	30615	119	7670	time; hour; class, lesson	Bréf hans er sent til fjölmiðla á ellefta	tímanum	í morgun.	tʰiːmɪ	Nafnorð	Noun	m.	1K									tíma	tíma	tíma	tímar	tíma	tímum	tíma											tími.mp3
staður	kk	nk	30494	120	5661	place	Slysið átti sér	stað	um klukkan átta í gærkvöldi.	staːðʏr	Nafnorð	Noun	m.	1K									stað	stað	staðar	staðir	staði	stöðum	staða											staður.mp3
leggja	so	s	30422	121	426089	park; lay	Nokkurn reyk	lagði	yfir bæinn og hringdu margir í lögreglu.	lɛca	Sagnorð	Verb	v.	1K	legg	leggur	leggur	lagði	lagðir	lagði	lagt																			leggja.mp3
hinn	fn	fa	29842	122	478791	the other	Enn hafa	hins	vegar engin svör borist.	hɪn	Fornafn	Pronoun	pron.	1K																hinir -- hinar -- hin	hinn  --  hin -- hitt									hinn.mp3
fólk	hk	nh	29802	123	1142	people	Þannig að það verður gaman fyrir	fólk	að sjá.	foul̥k	Nafnorð	Noun	n.	1K									fólk	fólki	fólks															fólk.mp3
vilja	so	s	29103	124	427494	want, wish	Og það	vildi	hún ekki gera.	vɪlja	Sagnorð	Verb	v.	1K	vil	vilt	vill	vildi	vildir	vildi	viljað																			vilja.mp3
nýr	lo	l	29065	125	408191	new	Þá verður kjörinn	nýr	formaður að þessu sinni.	niːr	Lýsingarorð	Adjective	adj.	1K																					nýr  --  ný -- nýtt	nýrri -- nýrri -- nýrra	nýjastur -- nýjust -- nýjast			nýr.mp3
tveir	to	t	29037	127	403789	two	Kosningarnar standa í	tvær	vikur og fara fram í gegnum netið.	tʰveiːr	Töluorð	Numeral	num.	1K																tveir -- tvær -- tvö	tveir  --  									tveir.mp3
standa	so	s	29009	129	478545	stand; be written	Kosningarnar	standa	í tvær vikur og fara fram í gegnum netið.	stanta	Sagnorð	Verb	v.	1K	stend	stendur	stendur	stóð	stóðst	stóð	staðið																			standa.mp3
grein	kvk	nv	28243	130	10348	branch; subject, field; article	Hann skrifar langa	grein	í miðopnu Morgunblaðsins í dag.	kreiːn	Nafnorð	Noun	f.	1K									grein	grein	greinar	greinar	greinar	greinum	greina											grein.mp3
hinn	gr	g	27844	131	403787	the	Hann brást	hinn	versti við og réðst að lögreglumönnunum.	hɪn	Greinir	Article	art.	1K																hinir -- hinar -- hin	hinn  --  hin -- hið									hinn.mp3
mjög	ao	a	27328	132	416508	very	Húsið er	mjög	illa farið , jafnvel ónýtt.	mjœːɣ	Atviksorð	Adverb	adv.	1K																								meir	mest	mjög.mp3
bera	so	s	27136	133	478219	carry; bear	Enn hafa hins vegar engin svör	borist	.	pɛːra	Sagnorð	Verb	v.	1K	ber	berð	ber	bar	barst	bar	borið																			bera.mp3
lítill	lo	l	26653	134	165051	small		Litlar	skemmdir urðu á húsnæðinu.	liːtɪtl̥	Lýsingarorð	Adjective	adj.	1K																					lítill  --  lítil -- lítið	minni -- minni -- minna	minnstur -- minnst -- minnst			lítill.mp3
samur	fn	fb	26457	135	480217	same		Sams	konar mál kom upp fyrir ári síðan.	saːmʏr	Fornafn	Pronoun	pron.	1K																samir -- samar -- söm	samur  --  söm -- samt									samur.mp3
bara	ao	a	25533	136	495483	only, just	Kreppan sem nú herji á heiminn sé ekki	bara	mál Íslendinga.	paːra	Atviksorð	Adverb	adv.	1K								bara																		bara.mp3
